Band,BW,Tx_Freq,Chan,Tx_level,Measured_Power,E_-1,E_+1,U_-1,U_+1,U_-2,U_+2,EVM,Freq_Err,IQ_OFFSET,RB_num,RB_start,MCS,Type,Tx_Path,SCS(KHz),RB_STATE,Sync_Path,AS_SRS_Path,Current(mA),Condition,Temp0,Temp1,Voltage_mipi,FBRX power,MIPI read
77,100,3750000,ch1,26,22.85115,-38.87413,-39.00481,-47.16011,-48.15436,-50.13161,-50.377,2.829822,-1.307444,-74.69686,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,4150000,ch2,26,22.60071,-39.19445,-39.41288,-47.51126,-48.53503,-50.74955,-50.95506,2.928733,9.987126,-69.66708,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,25.64297,-40.73316,-40.85364,-47.89302,-48.372,-49.89104,-49.9084,2.615624,-10.37695,-74.05939,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,25.85656,-40.35793,-40.4239,-47.86803,-47.90738,-49.35902,-49.32939,2.440018,41.54998,-72.38821,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,25.79983,-41.24431,-41.78678,-48.27509,-49.66849,-50.33743,-51.44293,2.393069,26.3467,-74.60949,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,24.77622,-37.94413,-38.40458,-47.05374,-48.73982,-49.41503,-49.88354,2.213122,14.52962,-74.4761,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,24.9277,-40.22619,-40.97153,-49.00794,-51.36681,-52.7662,-52.90135,1.784943,-22.48154,-75.78819,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,24.88474,-39.66585,-39.9339,-48.1712,-49.81436,-51.37717,-51.68511,2.051823,-6.632602,-76.0042,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,24.11119,-40.23567,-40.02977,-48.30627,-47.74288,-49.68101,-49.30417,3.816636,-19.50374,-69.66238,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,24.35327,-39.79961,-39.68269,-46.99381,-46.50388,-48.55418,-48.15051,4.100739,3.116608,-71.54324,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,24.35097,-40.69475,-40.94796,-48.0973,-48.78381,-49.57327,-50.26709,3.684422,-2.395884,-73.07895,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,22.71356,-37.97722,-38.1128,-47.06483,-47.7164,-49.83061,-49.56291,2.88708,36.61624,-70.32441,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,22.90249,-39.25201,-39.33857,-47.99799,-48.35871,-51.36693,-50.71959,2.594966,-14.34074,-72.56879,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,22.87654,-38.93748,-39.1446,-47.14077,-48.15865,-50.04574,-50.33247,2.832065,61.07796,-74.9673,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,23.33112,-42.22194,-42.12743,-53.5067,-53.88952,-54.11162,-53.55564,1.54284,-30.12577,-74.04909,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,23.42383,-42.31435,-42.32136,-53.46582,-53.78512,-54.05545,-53.73003,1.572127,-4.057521,-77.65869,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,23.37826,-41.29902,-41.58766,-50.75348,-51.2841,-51.77389,-52.03087,1.821565,-8.765877,-80.04142,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,22.42625,-40.73453,-41.13311,-49.41186,-52.42615,-53.15593,-54.24575,1.607611,-9.082486,-78.26247,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,22.36705,-40.3801,-40.83508,-49.07197,-52.13468,-52.9194,-53.71681,1.679373,-21.21264,-78.38523,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,22.34418,-40.34014,-40.80997,-49.1832,-52.30219,-52.87582,-53.79971,1.657139,8.131475,-76.1531,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,21.81065,-41.87087,-41.84083,-54.86701,-54.97471,-54.96382,-55.25021,1.984335,-14.85632,-71.80839,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,21.893,-41.91518,-41.84227,-55.0419,-54.97307,-55.02275,-55.00928,1.892489,28.80714,-72.32363,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
