Freq(MHz),Loss
500,7.6
800,7.7
900,7.9
1000,8.0
1100,8.1
1500,8.3
1600,8.5
1800,8.6
2000,8.8
2100,8.9
2200,8.9
2300,9.2
2500,9.4
3000,9.6
3300,9.8
3800,10
4200,10.3
4400,10.6
5000,10.9
5200,11
5500,11.2
6000,11.6
