Path_Tech_Band,MIPI
TX1_NR_77,"4,1,1:4,1,2:4,1,3"
TX1_NR_78,"4,1,1:4,1,2:4,1,3"
TX1_NR_48,"4,1,1:4,1,2:4,1,3"
TX1_LTE_48,"4,1,1:4,1,2:4,1,3"
TX1_WCDMA_8,"2,5,1"
TX1_LTE_42,"4,1,1:4,1,2:4,1,3"
TX2_NR_77,"2,3,1:2,3,2:2,3,3"
TX2_NR_78,"2,3,1:2,3,2:2,3,3"
TX2_NR_48,"2,3,1:2,3,2:2,3,3"
